日付,プロジェクトID,プロジェクト名,収益,コスト,利益,利益率
2024-01-31,P001,CRMシステム更新,5000000,3500000,1500000,30.00%
2024-01-31,P002,Eコマースプラットフォーム,3000000,2200000,800000,26.67%
2024-01-31,P003,モバイルアプリ開発,2000000,1940000,60000,3.00%
2024-01-31,P004,データ分析ダッシュボード,1500000,1100000,400000,26.67%
2024-01-31,P005,クラウド移行,3500000,2600000,900000,25.71%
2024-01-31,P006,AIチャットボット実装,2800000,2100000,700000,25.00%
2024-02-29,P001,CRMシステム更新,5500000,3800000,1700000,30.91%
2024-02-29,P002,Eコマースプラットフォーム,3200000,2400000,800000,25.00%
2024-02-29,P003,モバイルアプリ開発,2200000,2112000,88000,4.00%
2024-02-29,P004,データ分析ダッシュボード,1800000,1300000,500000,27.78%
2024-02-29,P005,クラウド移行,3800000,2850000,950000,25.00%
2024-02-29,P006,AIチャットボット実装,3000000,2250000,750000,25.00%
2024-03-31,P001,CRMシステム更新,6000000,4100000,1900000,31.67%
2024-03-31,P002,Eコマースプラットフォーム,3400000,2550000,850000,25.00%
2024-03-31,P003,モバイルアプリ開発,2500000,2375000,125000,5.00%
2024-03-31,P004,データ分析ダッシュボード,2000000,1500000,500000,25.00%
2024-03-31,P005,クラウド移行,4200000,3150000,1050000,25.00%
2024-03-31,P006,AIチャットボット実装,3300000,2475000,825000,25.00%
2024-04-30,P001,CRMシステム更新,5800000,4000000,1800000,31.03%
2024-04-30,P002,Eコマースプラットフォーム,3500000,2600000,900000,25.71%
2024-04-30,P003,モバイルアプリ開発,2800000,2660000,140000,5.00%
2024-04-30,P004,データ分析ダッシュボード,2200000,1650000,550000,25.00%
2024-04-30,P005,クラウド移行,4000000,3000000,1000000,25.00%
2024-04-30,P006,AIチャットボット実装,3500000,2625000,875000,25.00%
2024-05-31,P001,CRMシステム更新,6200000,4300000,1900000,30.65%
2024-05-31,P002,Eコマースプラットフォーム,3700000,2775000,925000,25.00%
2024-05-31,P003,モバイルアプリ開発,3000000,2850000,150000,5.00%
2024-05-31,P004,データ分析ダッシュボード,2400000,1800000,600000,25.00%
2024-05-31,P005,クラウド移行,4500000,3400000,1100000,24.44%
2024-05-31,P006,AIチャットボット実装,3800000,2850000,950000,25.00%
2024-06-30,P001,CRMシステム更新,6500000,4500000,2000000,30.77%
2024-06-30,P002,Eコマースプラットフォーム,3800000,2800000,1000000,26.32%
2024-06-30,P003,モバイルアプリ開発,3000000,2820000,180000,6.00%
2024-06-30,P004,データ分析ダッシュボード,2500000,1875000,625000,25.00%
2024-06-30,P005,クラウド移行,5000000,3800000,1200000,24.00%
2024-06-30,P006,AIチャットボット実装,4000000,3000000,1000000,25.00%
2024-07-31,P001,CRMシステム更新,6800000,4700000,2100000,30.88%
2024-07-31,P002,Eコマースプラットフォーム,4000000,3000000,1000000,25.00%
2024-07-31,P003,モバイルアプリ開発,3200000,2976000,224000,7.00%
2024-07-31,P004,データ分析ダッシュボード,2400000,1800000,600000,25.00%
2024-07-31,P005,クラウド移行,5500000,4100000,1400000,25.45%
2024-07-31,P006,AIチャットボット実装,3500000,2600000,900000,25.71%
2024-08-31,P001,CRMシステム更新,7000000,4900000,2100000,30.00%
2024-08-31,P002,Eコマースプラットフォーム,4000000,3000000,1000000,25.00%
2024-08-31,P003,モバイルアプリ開発,3400000,3128000,272000,8.00%
2024-08-31,P004,データ分析ダッシュボード,2600000,1950000,650000,25.00%
2024-08-31,P005,クラウド移行,5500000,4100000,1400000,25.45%
2024-08-31,P006,AIチャットボット実装,4000000,3000000,1000000,25.00%
2024-09-30,P001,CRMシステム更新,6500000,4500000,2000000,30.77%
2024-09-30,P002,Eコマースプラットフォーム,4200000,3150000,1050000,25.00%
2024-09-30,P003,モバイルアプリ開発,3200000,2944000,256000,8.00%
2024-09-30,P004,データ分析ダッシュボード,2700000,2025000,675000,25.00%
2024-09-30,P005,クラウド移行,5800000,4350000,1450000,25.00%
2024-09-30,P006,AIチャットボット実装,4500000,3400000,1100000,24.44%
2024-10-31,P001,CRMシステム更新,7200000,5000000,2200000,30.56%
2024-10-31,P002,Eコマースプラットフォーム,4200000,3100000,1100000,26.19%
2024-10-31,P003,モバイルアプリ開発,3500000,3185000,315000,9.00%
2024-10-31,P004,データ分析ダッシュボード,2600000,1900000,700000,26.92%
2024-10-31,P005,クラウド移行,6000000,4500000,1500000,25.00%
2024-10-31,P006,AIチャットボット実装,4800000,3600000,1200000,25.00%
2024-11-30,P001,CRMシステム更新,6800000,4700000,2100000,30.88%
2024-11-30,P002,Eコマースプラットフォーム,4400000,3300000,1100000,25.00%
2024-11-30,P003,モバイルアプリ開発,3500000,3150000,350000,10.00%
2024-11-30,P004,データ分析ダッシュボード,2800000,2100000,700000,25.00%
2024-11-30,P005,クラウド移行,6200000,4650000,1550000,25.00%
2024-11-30,P006,AIチャットボット実装,5000000,3800000,1200000,24.00%
2024-12-31,P001,CRMシステム更新,7500000,5200000,2300000,30.67%
2024-12-31,P002,Eコマースプラットフォーム,4500000,3300000,1200000,26.67%
2024-12-31,P003,モバイルアプリ開発,3800000,3382000,418000,11.00%
2024-12-31,P004,データ分析ダッシュボード,2800000,2100000,700000,25.00%
2024-12-31,P005,クラウド移行,6500000,4900000,1600000,24.62%
2024-12-31,P006,AIチャットボット実装,5200000,3900000,1300000,25.00%
