日付,プロジェクト,チーム,完了タスク数,残タスク数,解決済バグ数,新規バグ報告数,チーム速度,顧客満足度,使用済予算(千円),残予算(千円),リスクレベル
2024-01-01,大手銀行システム刷新,アルファ,15,285,8,3,22,4.2,50000,1950000,低
2024-01-01,グローバル小売業向けモバイルアプリ開発,ベータ,12,258,6,9,18,3.8,40000,1960000,中
2024-01-01,製造業向けAIソリューション導入,ガンマ,9,276,3,3,15,4.5,60000,1940000,低
2024-01-01,政府機関サイバーセキュリティ強化,デルタ,12,264,12,6,21,4.0,70000,1930000,高
2024-01-02,大手銀行システム刷新,アルファ,18,267,6,3,24,4.3,60000,1890000,低
2024-01-02,グローバル小売業向けモバイルアプリ開発,ベータ,15,243,9,6,21,3.9,50000,1910000,中
2024-01-02,製造業向けAIソリューション導入,ガンマ,12,264,6,3,18,4.6,70000,1870000,低
2024-01-02,政府機関サイバーセキュリティ強化,デルタ,15,249,15,3,24,4.1,80000,1850000,中
2024-01-03,大手銀行システム刷新,アルファ,21,246,9,0,27,4.4,55000,1835000,低
2024-01-03,グローバル小売業向けモバイルアプリ開発,ベータ,12,231,6,6,18,4.0,45000,1865000,低
2024-01-03,製造業向けAIソリューション導入,ガンマ,15,249,6,3,21,4.7,65000,1805000,低
2024-01-03,政府機関サイバーセキュリティ強化,デルタ,18,231,12,3,27,4.3,75000,1775000,中
2024-01-04,大手銀行システム刷新,アルファ,15,231,6,3,21,4.3,50000,1785000,低
2024-01-04,グローバル小売業向けモバイルアプリ開発,ベータ,18,213,9,3,24,4.1,55000,1810000,低
2024-01-04,製造業向けAIソリューション導入,ガンマ,12,237,3,6,18,4.6,60000,1745000,中
2024-01-04,政府機関サイバーセキュリティ強化,デルタ,15,216,9,6,21,4.2,70000,1705000,中
2024-01-05,大手銀行システム刷新,アルファ,24,207,12,0,30,4.5,70000,1715000,低
2024-01-05,グローバル小売業向けモバイルアプリ開発,ベータ,15,198,6,6,21,4.0,48000,1762000,中
2024-01-05,製造業向けAIソリューション導入,ガンマ,18,219,9,3,24,4.8,75000,1670000,低
2024-01-05,政府機関サイバーセキュリティ強化,デルタ,21,195,15,3,27,4.4,85000,1620000,低
2024-01-08,大手銀行システム刷新,アルファ,18,189,9,3,24,4.4,55000,1660000,低
2024-01-08,グローバル小売業向けモバイルアプリ開発,ベータ,21,177,12,0,27,4.2,60000,1702000,低
2024-01-08,製造業向けAIソリューション導入,ガンマ,15,204,6,6,21,4.7,68000,1602000,中
2024-01-08,政府機関サイバーセキュリティ強化,デルタ,24,171,18,3,30,4.5,90000,1530000,低
2024-01-09,大手銀行システム刷新,アルファ,21,168,6,6,27,4.5,65000,1595000,中
2024-01-09,グローバル小売業向けモバイルアプリ開発,ベータ,18,159,9,3,24,4.3,55000,1647000,低
2024-01-09,製造業向けAIソリューション導入,ガンマ,21,183,12,0,27,4.9,80000,1522000,低
2024-01-09,政府機関サイバーセキュリティ強化,デルタ,18,153,12,6,24,4.4,75000,1455000,中
2024-01-10,大手銀行システム刷新,アルファ,27,141,15,0,33,4.6,80000,1515000,低
2024-01-10,グローバル小売業向けモバイルアプリ開発,ベータ,24,135,15,3,30,4.4,70000,1577000,低
2024-01-10,製造業向けAIソリューション導入,ガンマ,18,165,9,3,24,4.8,72000,1450000,低
2024-01-10,政府機関サイバーセキュリティ強化,デルタ,21,132,15,0,27,4.6,85000,1370000,低
2024-01-11,大手銀行システム刷新,アルファ,24,117,12,3,30,4.7,75000,1440000,低
2024-01-11,グローバル小売業向けモバイルアプリ開発,ベータ,21,114,12,6,27,4.3,65000,1512000,中
2024-01-11,製造業向けAIソリューション導入,ガンマ,24,141,15,0,30,5.0,90000,1360000,低
2024-01-11,政府機関サイバーセキュリティ強化,デルタ,27,105,21,3,33,4.7,100000,1270000,低
2024-01-12,大手銀行システム刷新,アルファ,21,96,9,6,27,4.6,68000,1372000,中
2024-01-12,グローバル小売業向けモバイルアプリ開発,ベータ,27,87,18,0,33,4.5,80000,1432000,低
